Eta Bin	Phi Bin	Content	Error
-1.77778	-0.785398	0.184296	0.235414
-1.77778	0.0	-0.179088	0.142233
-1.77778	0.785398	0.184296	0.235414
-1.77778	1.5708	-0.187331	0.155438
-1.77778	2.35619	-0.192815	0.14799
-1.77778	3.14159	-0.344944	0.125494
-1.77778	3.92699	-0.192815	0.14799
-1.77778	4.71239	-0.187331	0.155438
-1.33333	-0.785398	-0.0514444	0.0510152
-1.33333	0.0	-0.114829	0.0473914
-1.33333	0.785398	-0.0514444	0.0510152
-1.33333	1.5708	-0.0643681	0.0548916
-1.33333	2.35619	-0.0139213	0.0569434
-1.33333	3.14159	0.117159	0.0776717
-1.33333	3.92699	-0.0139213	0.0569434
-1.33333	4.71239	-0.0643681	0.0548916
-0.888889	-0.785398	-0.0189531	0.028014
-0.888889	0.0	-0.0268705	0.0282195
-0.888889	0.785398	-0.0189531	0.028014
-0.888889	1.5708	-0.0337509	0.0276555
-0.888889	2.35619	-0.00545978	0.0280557
-0.888889	3.14159	-0.00231491	0.0282557
-0.888889	3.92699	-0.00545978	0.0280557
-0.888889	4.71239	-0.0337509	0.0276555
-0.444444	-0.785398	0.00277865	0.0220721
-0.444444	0.0	-0.00588859	0.0217879
-0.444444	0.785398	0.00277865	0.0220721
-0.444444	1.5708	0.0238104	0.0221232
-0.444444	2.35619	0.0251613	0.0221752
-0.444444	3.14159	-0.00698032	0.0221726
-0.444444	3.92699	0.0251613	0.0221752
-0.444444	4.71239	0.0238104	0.0221232
0.0	-0.785398	-0.00564542	0.02019
0.0	0	0.156322	0.0212559
0.0	0.785398	-0.00564542	0.02019
0.0	1.5708	-0.0618015	0.0201077
0.0	2.35619	-0.00211931	0.0206846
0.0	3.14159	-0.023459	0.0208988
0.0	3.92699	-0.00211931	0.0206846
0.0	4.71239	-0.0618015	0.0201077
0.444444	-0.785398	0.00277865	0.0220721
0.444444	0.0	-0.00588859	0.0217879
0.444444	0.785398	0.00277865	0.0220721
0.444444	1.5708	0.0238104	0.0221232
0.444444	2.35619	0.0251613	0.0221752
0.444444	3.14159	-0.00698032	0.0221726
0.444444	3.92699	0.0251613	0.0221752
0.444444	4.71239	0.0238104	0.0221232
0.888889	-0.785398	-0.0189531	0.028014
0.888889	0.0	-0.0268705	0.0282195
0.888889	0.785398	-0.0189531	0.028014
0.888889	1.5708	-0.0337509	0.0276555
0.888889	2.35619	-0.00545978	0.0280557
0.888889	3.14159	-0.00231491	0.0282557
0.888889	3.92699	-0.00545978	0.0280557
0.888889	4.71239	-0.0337509	0.0276555
1.33333	-0.785398	-0.0514444	0.0510152
1.33333	0.0	-0.114829	0.0473914
1.33333	0.785398	-0.0514444	0.0510152
1.33333	1.5708	-0.0643681	0.0548916
1.33333	2.35619	-0.0139213	0.0569434
1.33333	3.14159	0.117159	0.0776717
1.33333	3.92699	-0.0139213	0.0569434
1.33333	4.71239	-0.0643681	0.0548916
1.77778	-0.785398	0.184296	0.235414
1.77778	0.0	-0.179088	0.142233
1.77778	0.785398	0.184296	0.235414
1.77778	1.5708	-0.187331	0.155438
1.77778	2.35619	-0.192815	0.14799
1.77778	3.14159	-0.344944	0.125494
1.77778	3.92699	-0.192815	0.14799
1.77778	4.71239	-0.187331	0.155438
