Eta Bin	Phi Bin	Content	Error
-1.33333	-1.0472	0.0266852	0.0353085
-1.33333	-0.523599	0.0206676	0.0331761
-1.33333	0.0	-0.0241541	0.0379742
-1.33333	0.523599	0.0206676	0.0331761
-1.33333	1.0472	0.0266852	0.0353085
-1.33333	1.5708	0.0031571	0.0346356
-1.33333	2.0944	0.0189459	0.0339743
-1.33333	2.61799	-0.0627506	0.0389852
-1.33333	3.14159	-0.0134899	0.0343502
-1.33333	3.66519	-0.0627506	0.0389852
-1.33333	4.18879	0.0189459	0.0339743
-1.33333	4.71239	0.0031571	0.0346356
-0.888889	-1.0472	0.0138707	0.019602
-0.888889	-0.523599	0.0146505	0.0196642
-0.888889	0.0	-0.0755103	0.0188197
-0.888889	0.523599	0.0146505	0.0196642
-0.888889	1.0472	0.0138707	0.019602
-0.888889	1.5708	-0.0257727	0.0194429
-0.888889	2.0944	0.038148	0.0199675
-0.888889	2.61799	0.0207517	0.0197098
-0.888889	3.14159	0.0233701	0.0198761
-0.888889	3.66519	0.0207517	0.0197098
-0.888889	4.18879	0.038148	0.0199675
-0.888889	4.71239	-0.0257727	0.0194429
-0.444444	-1.0472	-0.0142006	0.0154851
-0.444444	-0.523599	0.0132231	0.0154566
-0.444444	0.0	0.0107817	0.0154877
-0.444444	0.523599	0.0132231	0.0154566
-0.444444	1.0472	-0.0142006	0.0154851
-0.444444	1.5708	-0.0265423	0.0155258
-0.444444	2.0944	-0.0332732	0.0153463
-0.444444	2.61799	0.00397816	0.0156668
-0.444444	3.14159	0.0512666	0.0158799
-0.444444	3.66519	0.00397816	0.0156668
-0.444444	4.18879	-0.0332732	0.0153463
-0.444444	4.71239	-0.0265423	0.0155258
0.0	-1.0472	-0.0382351	0.0139423
0.0	-0.523599	0.038428	0.0143122
0.0	-1.66533e-016	0.153999	0.0151818
0.0	0.523599	0.038428	0.0143122
0.0	1.0472	-0.0382351	0.0139423
0.0	1.5708	-0.0330031	0.0140523
0.0	2.0944	-0.0316881	0.01399
0.0	2.61799	0.00675036	0.0143417
0.0	3.14159	0.0933239	0.0147692
0.0	3.66519	0.00675036	0.0143417
0.0	4.18879	-0.0316881	0.01399
0.0	4.71239	-0.0330031	0.0140523
0.444444	-1.0472	-0.0142006	0.0154851
0.444444	-0.523599	0.0132231	0.0154566
0.444444	0.0	0.0107817	0.0154877
0.444444	0.523599	0.0132231	0.0154566
0.444444	1.0472	-0.0142006	0.0154851
0.444444	1.5708	-0.0265423	0.0155258
0.444444	2.0944	-0.0332732	0.0153463
0.444444	2.61799	0.00397816	0.0156668
0.444444	3.14159	0.0512666	0.0158799
0.444444	3.66519	0.00397816	0.0156668
0.444444	4.18879	-0.0332732	0.0153463
0.444444	4.71239	-0.0265423	0.0155258
0.888889	-1.0472	0.0138707	0.019602
0.888889	-0.523599	0.0146505	0.0196642
0.888889	0.0	-0.0755103	0.0188197
0.888889	0.523599	0.0146505	0.0196642
0.888889	1.0472	0.0138707	0.019602
0.888889	1.5708	-0.0257727	0.0194429
0.888889	2.0944	0.038148	0.0199675
0.888889	2.61799	0.0207517	0.0197098
0.888889	3.14159	0.0233701	0.0198761
0.888889	3.66519	0.0207517	0.0197098
0.888889	4.18879	0.038148	0.0199675
0.888889	4.71239	-0.0257727	0.0194429
1.33333	-1.0472	0.0266852	0.0353085
1.33333	-0.523599	0.0206676	0.0331761
1.33333	0.0	-0.0241541	0.0379742
1.33333	0.523599	0.0206676	0.0331761
1.33333	1.0472	0.0266852	0.0353085
1.33333	1.5708	0.0031571	0.0346356
1.33333	2.0944	0.0189459	0.0339743
1.33333	2.61799	-0.0627506	0.0389852
1.33333	3.14159	-0.0134899	0.0343502
1.33333	3.66519	-0.0627506	0.0389852
1.33333	4.18879	0.0189459	0.0339743
1.33333	4.71239	0.0031571	0.0346356
