Eta Bin	Phi Bin	Content	Error
-1.84615	-1.0472	-0.01981	0.0324391
-1.84615	-0.523599	-0.0274895	0.0364113
-1.84615	0.0	0.123345	0.0434378
-1.84615	0.523599	-0.0274895	0.0364113
-1.84615	1.0472	-0.01981	0.0324391
-1.84615	1.5708	0.0011693	0.0320092
-1.84615	2.0944	0.0263876	0.0356515
-1.84615	2.61799	-0.0135414	0.0343935
-1.84615	3.14159	-0.0750643	0.036843
-1.84615	3.66519	-0.0135414	0.0343935
-1.84615	4.18879	0.0263876	0.0356515
-1.84615	4.71239	0.0011693	0.0320092
-1.53846	-1.0472	-0.0170339	0.00956744
-1.53846	-0.523599	-0.0118855	0.00959843
-1.53846	0.0	0.0219134	0.0096149
-1.53846	0.523599	-0.0118855	0.00959843
-1.53846	1.0472	-0.0170339	0.00956744
-1.53846	1.5708	-0.0143413	0.00954341
-1.53846	2.0944	-0.0326473	0.00951986
-1.53846	2.61799	0.0104762	0.00958923
-1.53846	3.14159	0.00118804	0.00961359
-1.53846	3.66519	0.0104762	0.00958923
-1.53846	4.18879	-0.0326473	0.00951986
-1.53846	4.71239	-0.0143413	0.00954341
-1.23077	-1.0472	-0.00117571	0.00553295
-1.23077	-0.523599	-0.0128175	0.00554245
-1.23077	0.0	0.00521367	0.00557101
-1.23077	0.523599	-0.0128175	0.00554245
-1.23077	1.0472	-0.00117571	0.00553295
-1.23077	1.5708	-0.00928351	0.00551652
-1.23077	2.0944	-0.00294767	0.00554049
-1.23077	2.61799	-0.00518324	0.00554112
-1.23077	3.14159	-0.00513626	0.00555095
-1.23077	3.66519	-0.00518324	0.00554112
-1.23077	4.18879	-0.00294767	0.00554049
-1.23077	4.71239	-0.00928351	0.00551652
-0.923077	-1.0472	-0.00312872	0.00401526
-0.923077	-0.523599	-0.00341034	0.00402793
-0.923077	0.0	0.0110398	0.00404282
-0.923077	0.523599	-0.00341034	0.00402793
-0.923077	1.0472	-0.00312872	0.00401526
-0.923077	1.5708	-0.0030165	0.00401153
-0.923077	2.0944	-0.000568612	0.00402694
-0.923077	2.61799	0.0028598	0.00402903
-0.923077	3.14159	0.00383689	0.00403499
-0.923077	3.66519	0.0028598	0.00402903
-0.923077	4.18879	-0.000568612	0.00402694
-0.923077	4.71239	-0.0030165	0.00401153
-0.615385	-1.0472	-0.00342526	0.0033148
-0.615385	-0.523599	0.00376518	0.00332932
-0.615385	0.0	0.00344983	0.00332511
-0.615385	0.523599	0.00376518	0.00332932
-0.615385	1.0472	-0.00342526	0.0033148
-0.615385	1.5708	-0.00836097	0.00331297
-0.615385	2.0944	0.00482028	0.0033368
-0.615385	2.61799	0.007637	0.0033407
-0.615385	3.14159	-0.00413946	0.00334931
-0.615385	3.66519	0.007637	0.0033407
-0.615385	4.18879	0.00482028	0.0033368
-0.615385	4.71239	-0.00836097	0.00331297
-0.307692	-1.0472	-0.00286958	0.00297055
-0.307692	-0.523599	0.00514831	0.00297829
-0.307692	0.0	0.00272101	0.00299641
-0.307692	0.523599	0.00514831	0.00297829
-0.307692	1.0472	-0.00286958	0.00297055
-0.307692	1.5708	-0.00446015	0.00297918
-0.307692	2.0944	0.000151836	0.00300165
-0.307692	2.61799	0.00146246	0.00300552
-0.307692	3.14159	-0.000448021	0.00302101
-0.307692	3.66519	0.00146246	0.00300552
-0.307692	4.18879	0.000151836	0.00300165
-0.307692	4.71239	-0.00446015	0.00297918
0.0	-1.0472	-0.00562748	0.00286115
0.0	-0.523599	0.00798843	0.00286628
0.0	-1.66533e-016	0.00450751	0.00295552
0.0	0.523599	0.00798843	0.00286628
0.0	1.0472	-0.00562748	0.00286115
0.0	1.5708	-0.00106651	0.00287516
0.0	2.0944	-0.00454202	0.00289116
0.0	2.61799	0.00513093	0.00289939
0.0	3.14159	0.0105986	0.00292013
0.0	3.66519	0.00513093	0.00289939
0.0	4.18879	-0.00454202	0.00289116
0.0	4.71239	-0.00106651	0.00287516
0.307692	-1.0472	-0.00286958	0.00297055
0.307692	-0.523599	0.00514831	0.00297829
0.307692	0.0	0.00272101	0.00299641
0.307692	0.523599	0.00514831	0.00297829
0.307692	1.0472	-0.00286958	0.00297055
0.307692	1.5708	-0.00446015	0.00297918
0.307692	2.0944	0.000151836	0.00300165
0.307692	2.61799	0.00146246	0.00300552
0.307692	3.14159	-0.000448021	0.00302101
0.307692	3.66519	0.00146246	0.00300552
0.307692	4.18879	0.000151836	0.00300165
0.307692	4.71239	-0.00446015	0.00297918
0.615385	-1.0472	-0.00342526	0.0033148
0.615385	-0.523599	0.00376518	0.00332932
0.615385	0.0	0.00344983	0.00332511
0.615385	0.523599	0.00376518	0.00332932
0.615385	1.0472	-0.00342526	0.0033148
