Eta Bin	Phi Bin	Content	Error
-1.84615	-1.0472	-0.00677476	0.0267914
-1.84615	-0.523599	-0.00137153	0.0314058
-1.84615	0.0	0.104042	0.0348564
-1.84615	0.523599	-0.00137153	0.0314058
-1.84615	1.0472	-0.00677476	0.0267914
-1.84615	1.5708	0.0217153	0.0269925
-1.84615	2.0944	0.0157596	0.0281074
-1.84615	2.61799	0.0339878	0.0308303
-1.84615	3.14159	-0.0256157	0.0346176
-1.84615	3.66519	0.0339878	0.0308303
-1.84615	4.18879	0.0157596	0.0281074
-1.84615	4.71239	0.0217153	0.0269925
-1.53846	-1.0472	-0.0192967	0.00706453
-1.53846	-0.523599	-0.00392582	0.00711022
-1.53846	0.0	0.0259421	0.0071384
-1.53846	0.523599	-0.00392582	0.00711022
-1.53846	1.0472	-0.0192967	0.00706453
-1.53846	1.5708	-0.011023	0.00705505
-1.53846	2.0944	-0.0205568	0.00705843
-1.53846	2.61799	0.00746424	0.00710468
-1.53846	3.14159	0.0110091	0.00713009
-1.53846	3.66519	0.00746424	0.00710468
-1.53846	4.18879	-0.0205568	0.00705843
-1.53846	4.71239	-0.011023	0.00705505
-1.23077	-1.0472	-0.00653535	0.00397884
-1.23077	-0.523599	-0.00538583	0.00399595
-1.23077	0.0	0.0069866	0.00401198
-1.23077	0.523599	-0.00538583	0.00399595
-1.23077	1.0472	-0.00653535	0.00397884
-1.23077	1.5708	-0.00824878	0.00398094
-1.23077	2.0944	-0.00185516	0.00399439
-1.23077	2.61799	-0.00418916	0.00398917
-1.23077	3.14159	-0.00235817	0.00399674
-1.23077	3.66519	-0.00418916	0.00398917
-1.23077	4.18879	-0.00185516	0.00399439
-1.23077	4.71239	-0.00824878	0.00398094
-0.923077	-1.0472	-0.00474994	0.00288412
-0.923077	-0.523599	-0.00160593	0.00289639
-0.923077	0.0	0.00967022	0.00290069
-0.923077	0.523599	-0.00160593	0.00289639
-0.923077	1.0472	-0.00474994	0.00288412
-0.923077	1.5708	-0.00759727	0.00287959
-0.923077	2.0944	-0.00324108	0.00289242
-0.923077	2.61799	0.00304177	0.00289607
-0.923077	3.14159	0.00478909	0.0029003
-0.923077	3.66519	0.00304177	0.00289607
-0.923077	4.18879	-0.00324108	0.00289242
-0.923077	4.71239	-0.00759727	0.00287959
-0.615385	-1.0472	-0.00683469	0.00237929
-0.615385	-0.523599	0.0055423	0.0023906
-0.615385	0.0	0.00648903	0.00238637
-0.615385	0.523599	0.0055423	0.0023906
-0.615385	1.0472	-0.00683469	0.00237929
-0.615385	1.5708	-0.0106939	0.00237669
-0.615385	2.0944	0.00121075	0.00239416
