Eta Bin	Phi Bin	Content	Error
-1.77778	-0.785398	-0.0749275	0.047604
-1.77778	0.0	-0.0418568	0.0379856
-1.77778	0.785398	-0.0749275	0.047604
-1.77778	1.5708	0.0663793	0.103111
-1.77778	2.35619	0.0143389	0.0993455
-1.77778	3.14159	0.00324178	0.0380245
-1.77778	3.92699	0.0143389	0.0993455
-1.77778	4.71239	0.0663793	0.103111
-1.33333	-0.785398	-0.00622416	0.0081531
-1.33333	0.0	0.00800691	0.00823363
-1.33333	0.785398	-0.00622416	0.0081531
-1.33333	1.5708	-0.0172919	0.00807879
-1.33333	2.35619	0.000108786	0.00823538
-1.33333	3.14159	0.034505	0.00831845
-1.33333	3.92699	0.000108786	0.00823538
-1.33333	4.71239	-0.0172919	0.00807879
-0.888889	-0.785398	-0.00559897	0.00483153
-0.888889	0.0	0.00589432	0.00485617
-0.888889	0.785398	-0.00559897	0.00483153
-0.888889	1.5708	-0.0102394	0.00480858
-0.888889	2.35619	-0.000268989	0.00485418
-0.888889	3.14159	0.00938877	0.00486261
-0.888889	3.92699	-0.000268989	0.00485418
-0.888889	4.71239	-0.0102394	0.00480858
-0.444444	-0.785398	-0.000924251	0.00382686
-0.444444	0.0	0.0193658	0.00379559
-0.444444	0.785398	-0.000924251	0.00382686
-0.444444	1.5708	-0.0120815	0.00379882
-0.444444	2.35619	0.00536589	0.00383812
-0.444444	3.14159	0.00603634	0.00384742
-0.444444	3.92699	0.00536589	0.00383812
-0.444444	4.71239	-0.0120815	0.00379882
0.0	-0.785398	-0.00639562	0.00350194
0.0	0	0.0266441	0.00351108
0.0	0.785398	-0.00639562	0.00350194
0.0	1.5708	-0.00796361	0.00351559
0.0	2.35619	0.00142908	0.00353135
0.0	3.14159	0.0116518	0.0035545
0.0	3.92699	0.00142908	0.00353135
0.0	4.71239	-0.00796361	0.00351559
0.444444	-0.785398	-0.000924251	0.00382686
0.444444	0.0	0.0193658	0.00379559
0.444444	0.785398	-0.000924251	0.00382686
0.444444	1.5708	-0.0120815	0.00379882
0.444444	2.35619	0.00536589	0.00383812
0.444444	3.14159	0.00603634	0.00384742
0.444444	3.92699	0.00536589	0.00383812
0.444444	4.71239	-0.0120815	0.00379882
0.888889	-0.785398	-0.00559897	0.00483153
0.888889	0.0	0.00589432	0.00485617
0.888889	0.785398	-0.00559897	0.00483153
0.888889	1.5708	-0.0102394	0.00480858
0.888889	2.35619	-0.000268989	0.00485418
0.888889	3.14159	0.00938877	0.00486261
0.888889	3.92699	-0.000268989	0.00485418
0.888889	4.71239	-0.0102394	0.00480858
1.33333	-0.785398	-0.00622416	0.0081531
1.33333	0.0	0.00800691	0.00823363
1.33333	0.785398	-0.00622416	0.0081531
1.33333	1.5708	-0.0172919	0.00807879
1.33333	2.35619	0.000108786	0.00823538
1.33333	3.14159	0.034505	0.00831845
1.33333	3.92699	0.000108786	0.00823538
1.33333	4.71239	-0.0172919	0.00807879
1.77778	-0.785398	-0.0749275	0.047604
1.77778	0.0	-0.0418568	0.0379856
1.77778	0.785398	-0.0749275	0.047604
1.77778	1.5708	0.0663793	0.103111
1.77778	2.35619	0.0143389	0.0993455
1.77778	3.14159	0.00324178	0.0380245
1.77778	3.92699	0.0143389	0.0993455
1.77778	4.71239	0.0663793	0.103111
