Eta Bin	Phi Bin	Content	Error
-1.77778	-0.785398	-0.114786	0.0806643
-1.77778	0.0	0.13287	0.0704126
-1.77778	0.785398	-0.114786	0.0806643
-1.77778	1.5708	-0.129188	0.0781154
-1.77778	2.35619	0.06659	0.0781177
-1.77778	3.14159	-0.0781882	0.0596122
-1.77778	3.92699	0.06659	0.0781177
-1.77778	4.71239	-0.129188	0.0781154
-1.33333	-0.785398	-0.0251507	0.0195564
-1.33333	0.0	-0.0341195	0.0191713
-1.33333	0.785398	-0.0251507	0.0195564
-1.33333	1.5708	-0.021652	0.0192477
-1.33333	2.35619	0.00971828	0.0194153
-1.33333	3.14159	0.0790424	0.0201176
-1.33333	3.92699	0.00971828	0.0194153
-1.33333	4.71239	-0.021652	0.0192477
-0.888889	-0.785398	0.000524157	0.0121054
-0.888889	0.0	0.00618842	0.0121186
-0.888889	0.785398	0.000524157	0.0121054
-0.888889	1.5708	-0.00547293	0.0120734
-0.888889	2.35619	0.0126304	0.0121627
-0.888889	3.14159	0.00356349	0.0121397
-0.888889	3.92699	0.0126304	0.0121627
-0.888889	4.71239	-0.00547293	0.0120734
-0.444444	-0.785398	0.00200414	0.00957115
-0.444444	0.0	0.027325	0.00975605
-0.444444	0.785398	0.00200414	0.00957115
-0.444444	1.5708	-0.0329899	0.00955593
-0.444444	2.35619	0.00761356	0.00971812
-0.444444	3.14159	0.00110827	0.00970728
-0.444444	3.92699	0.00761356	0.00971812
-0.444444	4.71239	-0.0329899	0.00955593
0.0	-0.785398	-0.00969381	0.00879405
0.0	0	0.0448662	0.00915186
0.0	0.785398	-0.00969381	0.00879405
0.0	1.5708	-0.022492	0.00885433
0.0	2.35619	-0.000983111	0.00898676
0.0	3.14159	0.0204597	0.00906577
0.0	3.92699	-0.000983111	0.00898676
0.0	4.71239	-0.022492	0.00885433
0.444444	-0.785398	0.00200414	0.00957115
0.444444	0.0	0.027325	0.00975605
0.444444	0.785398	0.00200414	0.00957115
0.444444	1.5708	-0.0329899	0.00955593
0.444444	2.35619	0.00761356	0.00971812
0.444444	3.14159	0.00110827	0.00970728
0.444444	3.92699	0.00761356	0.00971812
0.444444	4.71239	-0.0329899	0.00955593
0.888889	-0.785398	0.000524157	0.0121054
0.888889	0.0	0.00618842	0.0121186
0.888889	0.785398	0.000524157	0.0121054
0.888889	1.5708	-0.00547293	0.0120734
0.888889	2.35619	0.0126304	0.0121627
0.888889	3.14159	0.00356349	0.0121397
0.888889	3.92699	0.0126304	0.0121627
0.888889	4.71239	-0.00547293	0.0120734
1.33333	-0.785398	-0.0251507	0.0195564
1.33333	0.0	-0.0341195	0.0191713
1.33333	0.785398	-0.0251507	0.0195564
1.33333	1.5708	-0.021652	0.0192477
1.33333	2.35619	0.00971828	0.0194153
1.33333	3.14159	0.0790424	0.0201176
1.33333	3.92699	0.00971828	0.0194153
1.33333	4.71239	-0.021652	0.0192477
1.77778	-0.785398	-0.114786	0.0806643
1.77778	0.0	0.13287	0.0704126
1.77778	0.785398	-0.114786	0.0806643
1.77778	1.5708	-0.129188	0.0781154
1.77778	2.35619	0.06659	0.0781177
1.77778	3.14159	-0.0781882	0.0596122
1.77778	3.92699	0.06659	0.0781177
1.77778	4.71239	-0.129188	0.0781154
