Eta Bin	Phi Bin	Content	Error
-1.84615	-1.0472	0.730545	0.746888
-1.84615	-0.523599	0.0993314	0.240406
-1.84615	0.0	0.453442	0.618621
-1.84615	0.523599	0.0993314	0.240406
-1.84615	1.0472	0.730545	0.746888
-1.84615	1.5708	0.202373	0.256595
-1.84615	2.0944	-0.0183127	0.241934
-1.84615	2.61799	0.0774657	0.252305
-1.84615	3.14159	-0.366751	0.175345
-1.84615	3.66519	0.0774657	0.252305
-1.84615	4.18879	-0.0183127	0.241934
-1.84615	4.71239	0.202373	0.256595
-1.53846	-1.0472	0.0126097	0.137229
-1.53846	-0.523599	0.22219	0.244319
-1.53846	0.0	0.0144965	0.13729
-1.53846	0.523599	0.22219	0.244319
-1.53846	1.0472	0.0126097	0.137229
-1.53846	1.5708	0.00584285	0.204968
-1.53846	2.0944	0.166157	0.296306
-1.53846	2.61799	-0.0356115	0.289375
-1.53846	3.14159	0.271444	0.198596
-1.53846	3.66519	-0.0356115	0.289375
-1.53846	4.18879	0.166157	0.296306
-1.53846	4.71239	0.00584285	0.204968
-1.23077	-1.0472	-0.0847898	0.0833417
-1.23077	-0.523599	-0.0141743	0.0646404
-1.23077	0.0	-0.0592718	0.0615246
-1.23077	0.523599	-0.0141743	0.0646404
-1.23077	1.0472	-0.0847898	0.0833417
-1.23077	1.5708	-0.00776105	0.061969
-1.23077	2.0944	0.105595	0.0729231
-1.23077	2.61799	0.0400914	0.0647833
-1.23077	3.14159	0.0378682	0.0759727
-1.23077	3.66519	0.0400914	0.0647833
-1.23077	4.18879	0.105595	0.0729231
-1.23077	4.71239	-0.00776105	0.061969
-0.923077	-1.0472	0.0686487	0.0439395
-0.923077	-0.523599	-0.0646532	0.0419779
-0.923077	0.0	-0.0445045	0.044903
-0.923077	0.523599	-0.0646532	0.0419779
-0.923077	1.0472	0.0686487	0.0439395
-0.923077	1.5708	-0.0402105	0.0427156
-0.923077	2.0944	-0.0459662	0.0427011
-0.923077	2.61799	-0.0232629	0.0432032
-0.923077	3.14159	0.00478564	0.0458979
-0.923077	3.66519	-0.0232629	0.0432032
-0.923077	4.18879	-0.0459662	0.0427011
-0.923077	4.71239	-0.0402105	0.0427156
-0.615385	-1.0472	-0.0232029	0.0350852
-0.615385	-0.523599	0.0245724	0.0357168
-0.615385	0.0	-0.0573336	0.0347912
-0.615385	0.523599	0.0245724	0.0357168
-0.615385	1.0472	-0.0232029	0.0350852
-0.615385	1.5708	0.0317402	0.0360336
-0.615385	2.0944	0.046955	0.0355527
-0.615385	2.61799	0.0217662	0.0350855
-0.615385	3.14159	0.03178	0.0364803
-0.615385	3.66519	0.0217662	0.0350855
-0.615385	4.18879	0.046955	0.0355527
-0.615385	4.71239	0.0317402	0.0360336
-0.307692	-1.0472	-0.0373148	0.0306399
-0.307692	-0.523599	-0.015081	0.0309914
-0.307692	0.0	0.00696402	0.0298249
-0.307692	0.523599	-0.015081	0.0309914
-0.307692	1.0472	-0.0373148	0.0306399
-0.307692	1.5708	0.00436773	0.0313717
-0.307692	2.0944	0.00931112	0.0309105
-0.307692	2.61799	0.00320362	0.031545
-0.307692	3.14159	0.0302211	0.0313521
-0.307692	3.66519	0.00320362	0.031545
-0.307692	4.18879	0.00931112	0.0309105
-0.307692	4.71239	0.00436773	0.0313717
0.0	-1.0472	-0.0288916	0.0292969
0.0	-0.523599	0.00131061	0.0294491
0.0	-1.66533e-016	0.139804	0.032581
0.0	0.523599	0.00131061	0.0294491
0.0	1.0472	-0.0288916	0.0292969
0.0	1.5708	-0.105687	0.0298482
0.0	2.0944	-0.0389786	0.0301233
0.0	2.61799	0.00676878	0.0301999
0.0	3.14159	0.0246789	0.0304514
0.0	3.66519	0.00676878	0.0301999
0.0	4.18879	-0.0389786	0.0301233
0.0	4.71239	-0.105687	0.0298482
0.307692	-1.0472	-0.0373148	0.0306399
0.307692	-0.523599	-0.015081	0.0309914
0.307692	0.0	0.00696402	0.0298249
0.307692	0.523599	-0.015081	0.0309914
0.307692	1.0472	-0.0373148	0.0306399
0.307692	1.5708	0.00436773	0.0313717
0.307692	2.0944	0.00931112	0.0309105
0.307692	2.61799	0.00320362	0.031545
0.307692	3.14159	0.0302211	0.0313521
0.307692	3.66519	0.00320362	0.031545
0.307692	4.18879	0.00931112	0.0309105
0.307692	4.71239	0.00436773	0.0313717
0.615385	-1.0472	-0.0232029	0.0350852
0.615385	-0.523599	0.0245724	0.0357168
0.615385	0.0	-0.0573336	0.0347912
0.615385	0.523599	0.0245724	0.0357168
0.615385	1.0472	-0.0232029	0.0350852
0.615385	1.5708	0.0317402	0.0360336
0.615385	2.0944	0.046955	0.0355527
0.615385	2.61799	0.0217662	0.0350855
0.615385	3.14159	0.03178	0.0364803
0.615385	3.66519	0.0217662	0.0350855
0.615385	4.18879	0.046955	0.0355527
0.615385	4.71239	0.0317402	0.0360336
0.923077	-1.0472	0.0686487	0.0439395
0.923077	-0.523599	-0.0646532	0.0419779
0.923077	0.0	-0.0445045	0.044903
0.923077	0.523599	-0.0646532	0.0419779
0.923077	1.0472	0.0686487	0.0439395
0.923077	1.5708	-0.0402105	0.0427156
0.923077	2.0944	-0.0459662	0.0427011
0.923077	2.61799	-0.0232629	0.0432032
0.923077	3.14159	0.00478564	0.0458979
0.923077	3.66519	-0.0232629	0.0432032
0.923077	4.18879	-0.0459662	0.0427011
0.923077	4.71239	-0.0402105	0.0427156
1.23077	-1.0472	-0.0847898	0.0833417
1.23077	-0.523599	-0.0141743	0.0646404
1.23077	0.0	-0.0592718	0.0615246
1.23077	0.523599	-0.0141743	0.0646404
1.23077	1.0472	-0.0847898	0.0833417
1.23077	1.5708	-0.00776105	0.061969
1.23077	2.0944	0.105595	0.0729231
1.23077	2.61799	0.0400914	0.0647833
1.23077	3.14159	0.0378682	0.0759727
1.23077	3.66519	0.0400914	0.0647833
1.23077	4.18879	0.105595	0.0729231
1.23077	4.71239	-0.00776105	0.061969
1.53846	-1.0472	0.0126097	0.137229
1.53846	-0.523599	0.22219	0.244319
1.53846	0.0	0.0144965	0.13729
1.53846	0.523599	0.22219	0.244319
1.53846	1.0472	0.0126097	0.137229
1.53846	1.5708	0.00584285	0.204968
1.53846	2.0944	0.166157	0.296306
1.53846	2.61799	-0.0356115	0.289375
1.53846	3.14159	0.271444	0.198596
1.53846	3.66519	-0.0356115	0.289375
1.53846	4.18879	0.166157	0.296306
1.53846	4.71239	0.00584285	0.204968
1.84615	-1.0472	0.730545	0.746888
1.84615	-0.523599	0.0993314	0.240406
1.84615	0.0	0.453442	0.618621
