0.035	0
0.105	0
0.175	0
0.245	0
0.315	0
0.385	0
0.455	0
0.525	0
0.595	0
0.665	0
0.735	0
0.805	0
0.875	0
0.945	0
1.015	549448
1.085	0
1.155	0
1.225	0
1.295	0
1.365	0
1.435	0
1.505	13.3748
1.575	4.62091e+006
1.645	1.15563e+007
1.715	2.48385e+007
1.785	3.06672e+007
1.855	4.09813e+007
1.925	5.05361e+007
1.995	5.9498e+007
2.065	7.21583e+007
2.135	8.39186e+007
2.205	9.45457e+007
2.275	1.04465e+008
2.345	1.16027e+008
2.415	1.26214e+008
2.485	1.35294e+008
2.555	1.43281e+008
2.625	1.5312e+008
2.695	1.60452e+008
2.765	1.67432e+008
2.835	1.73262e+008
2.905	1.79068e+008
2.975	1.84631e+008
3.045	1.8845e+008
3.115	1.92301e+008
3.185	1.95306e+008
3.255	1.98598e+008
3.325	2.00911e+008
3.395	2.03557e+008
3.465	2.0643e+008
3.535	2.08292e+008
3.605	2.10276e+008
3.675	2.12066e+008
3.745	2.14432e+008
3.815	2.16607e+008
3.885	2.18335e+008
3.955	2.20327e+008
4.025	2.22567e+008
4.095	2.24365e+008
4.165	2.26658e+008
4.235	2.2875e+008
4.305	2.31276e+008
4.375	2.33608e+008
4.445	2.356e+008
4.515	2.38918e+008
4.585	2.41006e+008
4.655	2.43902e+008
4.725	2.46737e+008
4.795	2.49704e+008
4.865	2.53148e+008
4.935	2.57331e+008
5.005	2.61529e+008
5.075	2.65282e+008
5.145	2.68652e+008
5.215	2.73636e+008
5.285	2.78315e+008
5.355	2.82631e+008
5.425	2.87031e+008
5.495	2.89305e+008
5.565	2.89496e+008
5.635	2.87402e+008
5.705	0
5.775	0
5.845	0
5.915	0
5.985	0
6.055	0
6.125	0
6.195	0
6.265	0
6.335	0
6.405	0
6.475	0
6.545	0
6.615	0
6.685	0
6.755	0
6.825	0
6.895	0
6.965	0
