delEtabin: 2   delPhiBin: 1
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 5
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 5
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 5
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 5
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 5
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 5
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 6
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 7
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 8
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 9
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 10
